customer_id,gender,age,county,urban_rural_classification,kyc_tier,max_transaction_limit_kes,max_balance_limit_kes,betting_platform_flag,international_transaction_flag,account_age_days,initial_balance_kes,archetype
CUST_000000,Female,24,Nairobi,urban,tier_2,150000.0,500000.0,false,false,339,253490.05482169247,retail_heavy
CUST_000001,Male,41,Kiambu,semi_urban,tier_2,150000.0,500000.0,false,false,33,184763.02074263422,retail_standard
CUST_000002,Female,32,Kiambu,semi_urban,tier_1,70000.0,300000.0,false,false,87,133658.63504419982,micro_merchant
CUST_000003,Female,29,Kiambu,semi_urban,tier_2,150000.0,500000.0,false,false,240,122264.18413081436,retail_standard
CUST_000004,Male,30,Kisumu,urban,tier_3,250000.0,500000.0,false,false,211,475000.0,retail_standard
CUST_000005,Female,34,Nairobi,urban,tier_1,70000.0,300000.0,false,false,70,82596.92818716976,retail_heavy
CUST_000006,Female,38,Busia,rural,tier_1,70000.0,300000.0,false,false,271,240276.57078416742,retail_standard
CUST_000007,Female,22,Nakuru,semi_urban,tier_1,70000.0,300000.0,false,false,49,100418.66034562317,micro_merchant
CUST_000008,Male,21,Garissa,rural,tier_1,70000.0,300000.0,false,false,362,165228.77562062436,retail_standard
CUST_000009,Male,43,Nairobi,urban,tier_2,150000.0,500000.0,false,false,82,265527.8808895644,retail_standard
CUST_000010,Male,27,Nairobi,urban,tier_1,70000.0,300000.0,false,false,179,195822.4443002788,corporate_sme
CUST_000011,Female,18,Mombasa,urban,tier_1,70000.0,300000.0,false,false,306,72491.59478024203,retail_standard
CUST_000012,Female,36,Kiambu,semi_urban,tier_1,70000.0,300000.0,false,false,202,188972.24932210342,retail_standard
CUST_000013,Female,36,Nakuru,semi_urban,tier_1,70000.0,300000.0,false,false,279,277828.0508242472,retail_standard
CUST_000014,Male,18,Meru,rural,tier_1,70000.0,300000.0,false,false,266,96973.32930089538,retail_heavy
CUST_000015,Male,34,Nakuru,semi_urban,tier_2,150000.0,500000.0,false,false,348,187159.48830436813,retail_heavy
CUST_000016,Female,39,Machakos,semi_urban,tier_2,150000.0,500000.0,false,false,185,141582.81022610076,retail_heavy
CUST_000017,Male,35,Bomet,rural,tier_1,70000.0,300000.0,false,true,358,92810.92401690852,micro_merchant
CUST_000018,Female,38,Nairobi,urban,tier_2,150000.0,500000.0,false,true,203,432818.944224743,retail_standard
CUST_000019,Female,18,Kiambu,semi_urban,tier_1,70000.0,300000.0,false,false,330,66797.47040193665,retail_standard
CUST_000020,Female,35,Nakuru,semi_urban,tier_1,70000.0,300000.0,false,false,276,68904.60857962417,retail_standard
CUST_000021,Male,28,Kiambu,semi_urban,tier_1,70000.0,300000.0,false,false,74,246961.62072217432,retail_standard
CUST_000022,Female,27,Nairobi,urban,tier_3,250000.0,500000.0,false,false,246,251359.0289627694,micro_merchant
CUST_000023,Female,40,Makueni,rural,tier_2,150000.0,500000.0,false,false,325,475000.0,retail_standard
CUST_000024,Female,46,Trans Nzoia,rural,tier_2,150000.0,500000.0,false,false,73,146846.64038425282,retail_standard
CUST_000025,Male,49,Nairobi,urban,tier_1,70000.0,300000.0,false,false,311,117556.96719382583,micro_merchant
CUST_000026,Male,45,Bungoma,rural,tier_1,70000.0,300000.0,false,false,65,79316.32749911625,micro_merchant
CUST_000027,Male,30,Laikipia,rural,tier_2,150000.0,500000.0,false,false,322,197602.7461516992,micro_merchant
CUST_000028,Male,35,Kisumu,urban,tier_1,70000.0,300000.0,false,false,295,45455.51366441286,retail_standard
CUST_000029,Female,39,Mandera,rural,tier_3,250000.0,500000.0,false,false,80,259066.65317305544,retail_heavy
CUST_000030,Female,33,Embu,rural,tier_2,150000.0,500000.0,false,false,274,216230.5371554615,retail_standard
CUST_000031,Female,33,Tharaka Nithi,rural,tier_1,70000.0,300000.0,false,false,69,107233.11863594076,retail_standard
CUST_000032,Male,40,Wajir,rural,tier_2,150000.0,500000.0,false,false,220,151324.40897785203,micro_merchant
CUST_000033,Male,31,Nairobi,urban,tier_3,250000.0,500000.0,false,false,340,117593.18754390435,retail_heavy
CUST_000034,Male,24,Kiambu,semi_urban,tier_1,70000.0,300000.0,false,false,99,158798.94904277366,retail_standard
CUST_000035,Male,27,Machakos,semi_urban,tier_2,150000.0,500000.0,false,false,88,102418.06423277927,micro_merchant
CUST_000036,Male,38,Nairobi,urban,tier_3,250000.0,500000.0,false,false,172,237592.27027503407,corporate_sme
CUST_000037,Male,32,Nakuru,semi_urban,tier_1,70000.0,300000.0,false,false,153,285000.0,retail_standard
CUST_000038,Male,35,Wajir,rural,tier_2,150000.0,500000.0,false,false,46,386591.60158126877,micro_merchant
CUST_000039,Female,38,Nairobi,urban,tier_1,70000.0,300000.0,false,false,183,51998.68882298215,retail_heavy
CUST_000040,Male,28,Kiambu,semi_urban,tier_2,150000.0,500000.0,false,false,117,140645.01169916874,retail_standard
CUST_000041,Female,39,Nandi,rural,tier_2,150000.0,500000.0,false,false,71,227087.0601171772,retail_heavy
CUST_000042,Female,35,Kisumu,urban,tier_2,150000.0,500000.0,false,false,122,177588.1556927652,corporate_sme
CUST_000043,Male,19,Kiambu,semi_urban,tier_1,70000.0,300000.0,false,false,36,54821.34445727013,micro_merchant
CUST_000044,Female,46,Vihiga,rural,tier_2,150000.0,500000.0,false,false,337,223021.0304934371,retail_heavy
CUST_000045,Female,26,Kiambu,semi_urban,tier_1,70000.0,300000.0,false,false,364,109812.46279012144,retail_heavy
CUST_000046,Male,18,Nairobi,urban,tier_1,70000.0,300000.0,false,false,153,285000.0,retail_standard
CUST_000047,Male,21,Nairobi,urban,tier_1,70000.0,300000.0,false,false,324,97238.63611155776,retail_standard
CUST_000048,Female,21,Trans Nzoia,rural,tier_1,70000.0,300000.0,false,false,185,197904.41613057442,retail_standard
CUST_000049,Male,32,Mombasa,urban,tier_1,70000.0,300000.0,false,false,336,58570.91680277165,retail_standard
CUST_000050,Male,29,Kiambu,semi_urban,tier_1,70000.0,300000.0,false,false,88,66008.12402293748,retail_standard
CUST_000051,Male,28,Nairobi,urban,tier_2,150000.0,500000.0,false,false,125,263865.38777838886,retail_standard
CUST_000052,Female,38,Kiambu,semi_urban,tier_1,70000.0,300000.0,false,false,278,189738.70047427143,retail_standard
