transaction_id,customer_id,counterparty,transaction_type,amount,direction,timestamp,paid_in,paid_out,balance,tier,hour,day_of_week,month,is_weekend,is_night,is_betting,is_international,is_kadogo,balance_after
TXN_0000000000,CUST_000111,Agent-556,Agent Deposit,101.88,inflow,2024-07-01T02:25:29.381360+00:00,101.88,0.0,173518.22,1,2,0,7,false,true,false,false,false,173518.22
TXN_0000000001,CUST_000646,Paybill-488750,Lipa Na M-PESA (Paybill),25.79,outflow,2024-07-01T03:43:02.195651+00:00,0.0,25.79,260502.6,2,3,0,7,false,true,false,false,true,260502.6
TXN_0000000002,CUST_000124,User-24568,Send Money,1695.69,outflow,2024-07-01T04:03:23.343887+00:00,0.0,1695.69,197935.02,2,4,0,7,false,true,false,false,false,197935.02
TXN_0000000003,CUST_000165,User-63866,Received Money,5231.42,inflow,2024-07-01T04:26:07.760025+00:00,5231.42,0.0,108251.79,1,4,0,7,false,true,false,false,false,108251.79
TXN_0000000004,CUST_000030,Fuliza,Others,208.93,inflow,2024-07-01T05:42:23.873780+00:00,208.93,0.0,216439.47,2,5,0,7,false,true,false,false,false,216439.47
TXN_0000000005,CUST_000473,User-70816,Received Money,264.44,inflow,2024-07-01T06:01:39.301781+00:00,264.44,0.0,111520.25,2,6,0,7,false,false,false,false,false,111520.25
TXN_0000000006,CUST_000551,Agent-350,Agent Deposit,1209.68,inflow,2024-07-01T06:08:05.859389+00:00,1209.68,0.0,54391.45,1,6,0,7,false,false,false,false,false,54391.45
TXN_0000000007,CUST_000011,User-43340,Received Money,1417.62,inflow,2024-07-01T06:11:19.896317+00:00,1417.62,0.0,73909.21,1,6,0,7,false,false,false,false,false,73909.21
TXN_0000000008,CUST_000110,Merchant-1067,Lipa Na M-PESA (Buy Goods),1212.64,outflow,2024-07-01T06:15:23.070271+00:00,0.0,1212.64,90264.12,1,6,0,7,false,false,false,false,false,90264.12
TXN_0000000009,CUST_000877,Merchant-6529,Lipa Na M-PESA (Buy Goods),49.65,outflow,2024-07-01T06:19:22.254475+00:00,0.0,49.65,116794.53,1,6,0,7,false,false,false,false,true,116794.53
TXN_0000000010,CUST_000244,Mcheza,Send Money,759.8,outflow,2024-07-01T06:26:43.318465+00:00,0.0,759.8,162761.67,1,6,0,7,false,false,true,false,false,162761.67
TXN_0000000011,CUST_000359,Okoa Jahazi,Others,330.17,outflow,2024-07-01T06:34:17.582143+00:00,0.0,330.17,92606.49,1,6,0,7,false,false,false,false,false,92606.49
TXN_0000000012,CUST_000922,Agent-938,Agent Withdrawal,494.57,outflow,2024-07-01T06:34:23.762233+00:00,0.0,494.57,145995.94,1,6,0,7,false,false,false,false,false,145995.94
TXN_0000000013,CUST_000039,Paybill-617015,Lipa Na M-PESA (Paybill),464.72,outflow,2024-07-01T06:34:59.790722+00:00,0.0,464.72,51533.97,1,6,0,7,false,false,false,false,false,51533.97
TXN_0000000014,CUST_000395,User-41532,Received Money,1242.85,inflow,2024-07-01T06:42:36.388400+00:00,1242.85,0.0,232584.91,1,6,0,7,false,false,false,false,false,232584.91
TXN_0000000015,CUST_000878,Paybill-646925,Lipa Na M-PESA (Paybill),1015.26,outflow,2024-07-01T06:43:44.608206+00:00,0.0,1015.26,57685.06,1,6,0,7,false,false,false,false,false,57685.06
TXN_0000000016,CUST_000291,User-57552,Send Money,280.65,outflow,2024-07-01T06:56:30.628668+00:00,0.0,280.65,260946.63,3,6,0,7,false,false,false,false,false,260946.63
TXN_0000000017,CUST_000287,Paybill-681409,Lipa Na M-PESA (Paybill),346.49,outflow,2024-07-01T06:56:51.127643+00:00,0.0,346.49,100456.78,1,6,0,7,false,false,false,false,false,100456.78
TXN_0000000018,CUST_000699,User-79942,Send Money,87181.0,outflow,2024-07-01T06:57:38.059726+00:00,0.0,87181.0,177274.4,2,6,0,7,false,false,false,false,false,177274.4
TXN_0000000019,CUST_000138,User-77216,Received Money,222.63,inflow,2024-07-01T07:03:08.841469+00:00,222.63,0.0,106878.62,1,7,0,7,false,false,false,false,false,106878.62
TXN_0000000020,CUST_000915,Merchant-9945,Lipa Na M-PESA (Buy Goods),1010.6,outflow,2024-07-01T07:04:02.555394+00:00,0.0,1010.6,148068.81,2,7,0,7,false,false,false,false,false,148068.81
TXN_0000000021,CUST_000027,Merchant-2646,Lipa Na M-PESA (Buy Goods),2118.0,outflow,2024-07-01T07:08:17.062148+00:00,0.0,2118.0,195484.75,2,7,0,7,false,false,false,false,false,195484.75
TXN_0000000022,CUST_000302,Paybill-938348,Lipa Na M-PESA (Paybill),2278.15,outflow,2024-07-01T07:26:17.111956+00:00,0.0,2278.15,163970.66,1,7,0,7,false,false,false,false,false,163970.66
TXN_0000000023,CUST_000283,User-20300,Received Money,2585.47,inflow,2024-07-01T07:30:36.963034+00:00,2585.47,0.0,156374.38,3,7,0,7,false,false,false,false,false,156374.38
TXN_0000000024,CUST_000656,Agent-497,Agent Deposit,95.23,inflow,2024-07-01T07:30:57.536300+00:00,95.23,0.0,75529.79,1,7,0,7,false,false,false,false,false,75529.79
TXN_0000000025,CUST_000012,User-56162,Send Money,438.9,outflow,2024-07-01T07:36:24.809066+00:00,0.0,438.9,188533.35,1,7,0,7,false,false,false,false,false,188533.35
TXN_0000000026,CUST_000499,User-74367,Received Money,692.21,inflow,2024-07-01T07:36:55.142687+00:00,692.21,0.0,49292.3,2,7,0,7,false,false,false,false,false,49292.3
TXN_0000000027,CUST_000708,User-83642,Send Money,878.68,outflow,2024-07-01T07:42:00.730606+00:00,0.0,878.68,474121.32,2,7,0,7,false,false,false,false,false,474121.32
